id,project_code,name,project_type,clients,initial_sample_size,sample,cpi,other_cost,operation_select,finance_select,upload_document,tentative_start_date,tentative_end_date,estimated_time,man_days,total_achievement,remaining_interview,status,remark,created_by,assigned_to,created_at,is_active
3903,036inn077,INVOBGYNN / INV179204  - US - CATI - Unimrkt CATI,CATI,Innovate MR,100,100,65,,1,0,,24-04-25 5:30,09-05-25 5:30,"15 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Dipika Maheshwari,29-04-25 2:11,1
3900,074ath205,Software Products and Services Study,CATI,Atheneum,100,100,54,,1,0,,18-04-25 5:30,02-05-25 5:30,"14 days, 0:00:00",2.5,5,95,In Progress,,oyewalerotimi oketunji,Jagdeep Yadav,25-04-25 19:20,1
3899,074ath204,Alarm System Landscape,CATI,Atheneum,100,100,44,,1,0,,07-04-25 5:30,30-04-25 5:30,"23 days, 0:00:00",11,79,21,Completed,,oyewalerotimi oketunji,Jagdeep Yadav,25-04-25 17:35,1
3898,074ath203,IT DMs in Senior Living Survey,CATI,Atheneum,60,60,48,,1,0,,02-04-25 5:30,30-04-25 5:30,"28 days, 0:00:00",1,4,56,Completed,,oyewalerotimi oketunji,Jagdeep Yadav,25-04-25 17:30,1
3897,001glg960,Cell Therapists,CATI,GLG,5,15,88,,1,0,,23-04-25 5:30,09-05-25 5:30,"16 days, 0:00:00",4,7,8,In Progress,,Saransh Sharma,Dipika Maheshwari,24-04-25 3:59,1
3896,094arc110,Donor Prospecting Survey n1500,CATI,Archmetrics,1500,1500,32,,1,0,,23-04-25 5:30,20-06-25 5:30,"58 days, 0:00:00",2,10,1490,On Hold,,Saransh Sharma,Saurabh Malik,24-04-25 3:59,1
3895,001glg959,Network Survey- Semiconductors Supply Chain VI,CATI,GLG,5,5,56,,1,0,,22-04-25 5:30,02-05-25 5:30,"10 days, 0:00:00",,,,Project Initiated,,Saransh Sharma,Navneet Tiwari,24-04-25 3:58,1
3894,007qua107,Qual9095-0811-BrandAwarenessTracker-Yr2 | Unimrkt,CATI,Qualtrics,475,475,44,,1,0,,22-04-25 5:30,16-05-25 5:30,"24 days, 0:00:00",0.5,1,474,In Progress,,Saransh Sharma,Jagdeep Yadav,24-04-25 3:57,1
3893,001glg958,Fire and Safety Operators,CATI,GLG,10,10,49,,1,0,,22-04-25 5:30,02-05-25 5:30,"10 days, 0:00:00",,,,Project Initiated,,Saransh Sharma,Navneet Tiwari,24-04-25 3:56,1
3892,003pot299,Famers in Europe,CATI,potloc,100,100,38,,1,0,,22-04-25 5:30,09-05-25 5:30,"17 days, 0:00:00",5.5,16,84,In Progress,,Saransh Sharma,Jagdeep Yadav,24-04-25 3:56,1
3891,002sym017,SYM251052 Commercial Insulation Bid Request,CATI,Symmetric Sampling,200,200,46,,1,0,,22-04-25 5:30,09-05-25 5:30,"17 days, 0:00:00",3,20,180,On Hold,,Saransh Sharma,Saurabh Malik,24-04-25 3:55,1
3890,063rep105,[REP-032525936] TripleLift Programmatic Marketers,CATI,Rep Data,70,70,43,,1,0,,22-04-25 5:30,08-05-25 5:30,"16 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Saurabh Malik,24-04-25 3:54,1
3889,074ath202,Major depressive disorder (MDD) and generalised an,CATI,Atheneum,42,42,90,,1,0,,10-04-25 5:30,30-04-25 5:30,"20 days, 0:00:00",9,29,13,In Progress,,oyewalerotimi oketunji,Dipika Maheshwari,22-04-25 18:24,1
3888,074ath201,Speciality Pharmacy Profiles Quant,CATI,Atheneum,12,5,90,,1,0,,08-04-25 5:30,25-04-25 5:30,"17 days, 0:00:00",1,5,0,Completed,,oyewalerotimi oketunji,Dipika Maheshwari,22-04-25 18:21,1
3887,004rot057,NEW potential project targeting Pulmonologists in,CATI,Roth MKM,3000,3000,75,,1,0,,21-04-25 5:30,08-08-25 5:30,"109 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Dipika Maheshwari,22-04-25 1:51,1
3886,071wer094,RFQ: Investment DMs in Insurance Companies (465),CATI,Werk Insights,150,150,48,,1,0,,21-04-25 5:30,09-05-25 5:30,"18 days, 0:00:00",8,65,85,In Progress,,Saransh Sharma,Ankit Narang,22-04-25 1:47,1
3885,001glg957,Unimrkt - BCBAs,CATI,GLG,10,12,73,,1,0,,21-04-25 5:30,30-04-25 5:30,"9 days, 0:00:00",4,10,2,In Progress,,Saransh Sharma,Dipika Maheshwari,22-04-25 1:46,1
3884,003pot298,RFQ Potloc: Healthcare project in Europe,CATI,potloc,10,10,84,,1,0,,17-04-25 5:30,30-04-25 5:30,"13 days, 0:00:00",3,10,0,Completed,,Saransh Sharma,Dipika Maheshwari,22-04-25 1:41,1
3883,001glg956,Freight Forwarding and Logistics Services,CATI,GLG,20,20,49,,1,0,,17-04-25 5:30,25-04-25 5:30,"8 days, 0:00:00",,,,Project Initiated,,Saransh Sharma,Navneet Tiwari,22-04-25 1:39,1
3882,004rot056,New potential B2B survey: Independent coffee shops,CATI,Roth MKM,200,200,44,,1,0,,17-04-25 5:30,06-05-25 5:30,"19 days, 0:00:00",14,132,68,In Progress,,Saransh Sharma,Reeti Sharma,22-04-25 1:39,1
3881,036inn076,INVGHDOZ US-Unimrkt CATI -- INV178947,CATI,Innovate MR,30,75,95,,1,0,,17-04-25 5:30,09-05-25 5:30,"22 days, 0:00:00",6,15,60,In Progress,,Saransh Sharma,Dipika Maheshwari,22-04-25 1:38,1
3880,001glg955,Users of Patent & Trademark Solutions --EMEA PSF,CATI,GLG,20,20,56,,1,0,,17-04-25 5:30,25-04-25 5:30,"8 days, 0:00:00",,,,Project Initiated,,Saransh Sharma,Navneet Tiwari,22-04-25 1:37,1
3879,038kan056,UM_91267178 James Hardie Reputation,CATI,Kantar,60,60,40,,1,0,,17-04-25 5:30,13-05-25 5:30,"26 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Jagdeep Yadav,22-04-25 1:36,1
3878,001glg691,Value Proposition for Hunters in IT Services Firms,CATI,GLG,5,5,52,,1,0,,16-04-25 5:30,25-04-25 5:30,"9 days, 0:00:00",,,,Project Initiated,,Saransh Sharma,Navneet Tiwari,22-04-25 1:35,1
3877,036inn075,INV178663 - US - CATI - Unimrkt CATI,CATI,Innovate MR,240,240,27,,1,0,,16-04-25 5:30,09-05-25 5:30,"23 days, 0:00:00",7,66,174,In Progress,,Saransh Sharma,Saurabh Malik,22-04-25 1:35,1
3876,003pot297,Potloc RFQ - CIO Survey,CATI,potloc,15,15,44,,1,0,,16-04-25 5:30,25-04-25 5:30,"9 days, 0:00:00",3.5,7,8,On Hold,,Saransh Sharma,Jagdeep Yadav,22-04-25 1:32,1
3875,001glg658,Wound Care Switching Behavior (Survey #608841),CATI,GLG,30,61,74,,1,0,,16-04-25 5:30,05-05-25 5:30,"19 days, 0:00:00",3,25,36,In Progress,,Saransh Sharma,Dipika Maheshwari,22-04-25 1:31,1
3874,038kan055,(91268117) Re: [External] FW: RFP: Automation Stud,CATI,Kantar,50,50,46,,1,0,,16-04-25 5:30,25-04-25 5:30,"9 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Saurabh Malik,22-04-25 1:30,1
3873,038kan054,LinkedIn SMB Brand Tracking April,Online,Kantar,30,30,24,,1,0,,16-04-25 5:30,23-04-25 5:30,"7 days, 0:00:00",,,,Project Initiated,,Saransh Sharma,Pankaj Nandolia,22-04-25 1:12,1
3872,119adi122,Auto industry tracker,CATI,Adience,300,300,42,,1,0,,14-04-25 5:30,02-05-25 5:30,"18 days, 0:00:00",,,,Project Initiated,,Christopher Schaedel,Veronika Sharma,21-04-25 21:39,1
3871,112pro138,FE Institutions,CATI,proSapient,30,30,52,,1,0,,14-04-25 5:30,02-05-25 5:30,"18 days, 0:00:00",,,,Project Initiated,,Christopher Schaedel,Navneet Tiwari,21-04-25 21:37,1
3870,126ski127,BtB Office system DM,CATI,SKIM Group,850,850,40,,1,0,,04-04-25 5:30,02-05-25 5:30,"28 days, 0:00:00",27,200,650,In Progress,,Saransh Sharma,Saurabh Malik,19-04-25 1:05,1
3869,004rot055,Potential new project - Digital Ad Buyers Wave 7,CATI,Roth MKM,100,100,41,,1,0,,10-04-25 5:30,28-04-25 5:30,"18 days, 0:00:00",9,100,0,Completed,,Saransh Sharma,Saurabh Malik,19-04-25 0:57,1
3868,006oxf093,IBM Global Pulse Wave 14 Leveraging AI in Telecom,CATI,Oxford Economics,100,100,37,,1,0,,17-04-25 5:30,02-05-25 5:30,"15 days, 0:00:00",16,100,0,In Progress,,Gaurav Prashant Saxena,Pankaj Nandolia,17-04-25 17:37,1
3867,006oxf092,IBM GLOBAL PULSE WAVE 11 AGENTIC AI SURVEY,CATI,Oxford Economics,400,400,37,,1,0,,17-03-25 5:30,25-04-25 5:30,"39 days, 0:00:00",4.5,400,0,Completed,,Gaurav Prashant Saxena,Navneet Tiwari,16-04-25 18:14,1
3866,006oxf091,IBV 2025 CMO Survey (CXO Series-Survey 3),CATI,Oxford Economics,1800,1800,46,,1,0,,17-03-25 5:30,30-04-25 5:30,"44 days, 0:00:00",60.5,1116,684,In Progress,,Gaurav Prashant Saxena,Ankit Narang,16-04-25 18:12,1
3865,006oxf090,IBV 2025 COO Survey (CXO Series - Survey 2),CATI,Oxford Economics,1800,1800,46,,1,0,,17-03-25 5:30,30-04-25 5:30,"44 days, 0:00:00",105,1800,0,Completed,,Gaurav Prashant Saxena,Ankit Narang,16-04-25 18:10,1
3864,014b2b024,Siemens Brand Research for 2025 (G036-24),CATI,B2B International,440,535,0,,1,0,,17-03-25 5:30,17-04-25 5:30,"31 days, 0:00:00",164,535,0,CBR Raised,,Alexander parkman,Reeti Sharma,16-04-25 17:24,1
3863,001glg954,Generator Market Assessment April 2025,CATI,GLG,10,10,49,,1,0,,15-04-25 5:30,24-04-25 5:30,"9 days, 0:00:00",1,7,3,In Progress,,Saransh Sharma,Navneet Tiwari,16-04-25 4:18,1
3862,001glg953,New GLG Bid - Biopharma R&D,CATI,GLG,5,5,50,,1,0,,15-04-25 5:30,23-04-25 5:30,"8 days, 0:00:00",,,,Cancelled,,Saransh Sharma,Navneet Tiwari,16-04-25 4:17,1
3861,090har117,2025-027-03 JH Academic (April),CATI,Harmon Research,7,250,15,,1,0,,15-04-25 5:30,30-04-25 5:30,"15 days, 0:00:00",3,218,32,Completed,,Saransh Sharma,Pankaj Nandolia,16-04-25 4:17,1
3860,001glg952,Executive Survey April 2025 Wave,CATI,GLG,10,10,58,,1,0,,15-04-25 5:30,23-04-25 5:30,"8 days, 0:00:00",1,7,3,In Progress,,Saransh Sharma,Navneet Tiwari,16-04-25 4:15,1
3859,001glg951,UM_GLG | MMSI Market Assessment (April 2025),CATI,GLG,10,10,49,,1,0,,14-04-25 5:30,23-04-25 5:30,"9 days, 0:00:00",1,7,3,In Progress,,Saransh Sharma,Navneet Tiwari,16-04-25 4:14,1
3858,001glg950,Critical Quality Attributes Sensors Study (Survey,CATI,GLG,20,20,80,,1,0,,14-04-25 5:30,25-04-25 5:30,"11 days, 0:00:00",6,16,4,In Progress,,Saransh Sharma,Dipika Maheshwari,16-04-25 4:13,1
3857,036inn074,INVSILVIA - Estonia - Unimrkt CATI,CATI,Innovate MR,100,100,40,,1,0,,14-04-25 5:30,30-04-25 5:30,"16 days, 0:00:00",10,70,30,In Progress,,Saransh Sharma,Saurabh Malik,16-04-25 4:12,1
3856,001glg949,Procore Customer,CATI,GLG,15,15,50,,1,0,,14-04-25 5:30,22-04-25 5:30,"8 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Navneet Tiwari,16-04-25 4:11,1
3855,001glg948,HCP Study using targeted lists - WAVE 3,CATI,GLG,120,120,69,,1,0,,14-04-25 5:30,02-05-25 5:30,"18 days, 0:00:00",1,2,118,In Progress,,Saransh Sharma,Dipika Maheshwari,16-04-25 4:11,1
3854,001glg947,Understanding Competition and Market Position (Sur,CATI,GLG,10,600,78,,1,0,,14-04-25 5:30,28-05-25 5:30,"44 days, 0:00:00",9,41,559,In Progress,,Saransh Sharma,Dipika Maheshwari,16-04-25 4:10,1
3853,007qua106,Qual12192-0911-FleetManagement | Unimrkt,CATI,Qualtrics,500,500,40,,1,0,,14-04-25 5:30,09-05-25 5:30,"25 days, 0:00:00",36.5,290,210,In Progress,,Saransh Sharma,Reeti Sharma,16-04-25 4:10,1
3852,001glg946,Clinical Trial Software Landscape (Survey #610716),CATI,GLG,10,10,72,,1,0,,14-04-25 5:30,21-04-25 5:30,"7 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Dipika Maheshwari,16-04-25 4:09,1
3851,007qua105,Qual4236-0402-Panels | Unimrkt,CATI,Qualtrics,100,100,44,,1,0,,14-04-25 5:30,15-05-25 5:30,"31 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Pankaj Nandolia,16-04-25 4:08,1
3850,001glg945,re-run Medical Imaging Survey April 205,CATI,GLG,29,30,78,,1,0,,14-04-25 5:30,30-04-25 5:30,"16 days, 0:00:00",6,30,0,Completed,,Saransh Sharma,Dipika Maheshwari,16-04-25 4:04,1
3849,001glg944,re-run Medical Imaging Survey April 205,CATI,GLG,29,29,78,,1,0,,14-04-25 5:30,25-04-25 5:30,"11 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Navneet Tiwari,16-04-25 4:03,1
3848,041mer042,MA 7568 | Texas,CATI,Mercury Analytics,150,150,20,,1,0,,14-04-25 5:30,30-04-25 5:30,"16 days, 0:00:00",15.5,76,74,In Progress,,Saransh Sharma,Jagdeep Yadav,16-04-25 4:01,1
3847,003pot296,AI Legal software,CATI,potloc,2,20,44,,1,0,,14-04-25 5:30,23-04-25 5:30,"9 days, 0:00:00",1.5,4,16,Completed,,Saransh Sharma,Jagdeep Yadav,16-04-25 4:00,1
3846,036inn073,INV178125 - Multi - Unimrkt CATI (INVCIDPMM),CATI,Innovate MR,20,20,82,,1,0,,14-04-25 5:30,25-04-25 5:30,"11 days, 0:00:00",7,20,0,On Hold,,Saransh Sharma,Dipika Maheshwari,16-04-25 3:58,1
3845,003pot295,IT decision makers / IT tools implementation in Sw,CATI,potloc,5,45,46,,1,0,,14-04-25 5:30,22-04-25 5:30,"8 days, 0:00:00",1.5,10,35,On Hold,,Saransh Sharma,Jagdeep Yadav,16-04-25 3:57,1
3844,003pot294,3126a: Unimrkt x Potloc - Data Management Systems,CATI,potloc,30,30,44,,1,0,,14-04-25 5:30,29-04-25 5:30,"15 days, 0:00:00",5,18,12,In Progress,,Saransh Sharma,Jagdeep Yadav,16-04-25 3:57,1
3843,001glg943,Reimbursement  (Survey #610138),CATI,GLG,4,4,78,,1,0,,14-04-25 5:30,21-04-25 5:30,"7 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Dipika Maheshwari,16-04-25 3:56,1
3842,036inn072,INV175621  - US - Unimrkt CATI,CATI,Innovate MR,169,169,44,,1,0,,14-04-25 5:30,25-04-25 5:30,"11 days, 0:00:00",18,169,0,CBR Raised,,Saransh Sharma,Saurabh Malik,16-04-25 3:55,1
3841,001glg942,Athletic Footwear Wholesalers follow up Survey,CATI,GLG,14,14,10,,1,0,,14-04-25 5:30,25-04-25 5:30,"11 days, 0:00:00",1,10,4,Completed,,Saransh Sharma,Navneet Tiwari,16-04-25 3:55,1
3840,001glg941,Luxury mall managers -RE RUN-Feb'25,CATI,GLG,50,50,48,,1,0,,14-04-25 5:30,29-04-25 5:30,"15 days, 0:00:00",6.75,50,0,Completed,,Saransh Sharma,Navneet Tiwari,16-04-25 3:54,1
3839,001glg940,Healthcare Payment Integrity,CATI,GLG,15,15,51,,1,0,,14-04-25 5:30,25-04-25 5:30,"11 days, 0:00:00",1.25,7,8,Completed,,Saransh Sharma,Navneet Tiwari,16-04-25 3:54,1
3838,007qua104,Qual4369-0318-Zipcode | Unimrkt,CATI,Qualtrics,100,100,24,,1,0,,11-04-25 5:30,25-04-25 5:30,"14 days, 0:00:00",2.1,19,81,In Progress,,Saransh Sharma,Reeti Sharma,16-04-25 3:53,1
3837,007qua103,Qual2966-0122-CompetitiveBenchmarking2025UPS,Online,Qualtrics,300,300,20,,1,0,,10-04-25 5:30,15-05-25 5:30,"35 days, 0:00:00",0.5,161,139,In Progress,,Saransh Sharma,Pankaj Nandolia,16-04-25 3:52,1
3836,074ath200,IDN Pharma Directors,CATI,Atheneum,20,13,88,,1,0,,11-04-25 5:30,24-04-25 5:30,"13 days, 0:00:00",6,13,0,On Hold,,oyewalerotimi oketunji,Dipika Maheshwari,15-04-25 20:03,1
3835,074ath199,Cardiovascular disease study,CATI,Atheneum,38,38,78,,1,0,,14-04-25 5:30,02-05-25 5:30,"18 days, 0:00:00",3,8,30,In Progress,,oyewalerotimi oketunji,Dipika Maheshwari,15-04-25 20:00,1
3834,074ath198,APP Management Quant,CATI,Atheneum,100,40,72,,1,0,,14-03-25 5:30,25-03-25 5:30,"11 days, 0:00:00",,,,To Be Started,,oyewalerotimi oketunji,Dipika Maheshwari,15-04-25 19:57,1
3833,074ath197,MACR 2025 Pharmacy Directors Quant,CATI,Atheneum,25,10,88,,1,0,,03-04-25 5:30,24-04-25 5:30,"21 days, 0:00:00",,,,To Be Started,,oyewalerotimi oketunji,Dipika Maheshwari,15-04-25 19:55,1
3832,074ath196,Payer IDNs Study,CATI,Atheneum,45,32,110,,1,0,,06-03-25 5:30,30-04-25 5:30,"55 days, 0:00:00",,,,To Be Started,,oyewalerotimi oketunji,Dipika Maheshwari,15-04-25 19:49,1
3831,074ath195,NSCLC Melanoma Study,CATI,Atheneum,25,25,100,,1,0,,19-03-25 5:30,24-03-25 5:30,"5 days, 0:00:00",,,,Project Initiated,,oyewalerotimi oketunji,Shivani Hanjura,15-04-25 19:42,1
3830,112pro137,Project Intrepid,CATI,proSapient,30,30,56,,1,0,,14-04-25 5:30,29-04-25 5:30,"15 days, 0:00:00",4,27,3,In Progress,,Christopher Schaedel,Navneet Tiwari,15-04-25 19:23,1
3829,112pro136,B2B used equipment online auction platforms,CATI,proSapient,30,30,54,,1,0,,14-04-25 5:30,29-04-25 5:30,"15 days, 0:00:00",3.5,25,5,In Progress,,Christopher Schaedel,Navneet Tiwari,15-04-25 19:20,1
3828,112pro135,Customer trends in Sustainability,CATI,proSapient,30,30,52,,1,0,,31-03-25 5:30,25-04-25 5:30,"25 days, 0:00:00",1,7,23,In Progress,,Christopher Schaedel,Navneet Tiwari,15-04-25 19:19,1
3827,112pro134,Technical products wholesale space,CATI,proSapient,30,30,52,,1,0,,31-03-25 5:30,24-04-25 5:30,"24 days, 0:00:00",1.25,7,23,On Hold,,Christopher Schaedel,Navneet Tiwari,15-04-25 19:17,1
3826,112pro133,Purchasing behavior of food safety products,CATI,proSapient,50,50,52,,1,0,,24-03-25 5:30,24-04-25 5:30,"31 days, 0:00:00",7,49,1,In Progress,,Christopher Schaedel,Navneet Tiwari,15-04-25 19:16,1
3825,112pro132,DXA Space,CATI,proSapient,36,36,56,,1,0,,24-03-25 5:30,11-04-25 5:30,"18 days, 0:00:00",,,,Project Initiated,,Christopher Schaedel,Navneet Tiwari,15-04-25 19:16,1
3824,112pro131,Accounting Software,CATI,proSapient,100,100,52,,1,0,,17-03-25 5:30,23-04-25 5:30,"37 days, 0:00:00",12,84,16,In Progress,,Christopher Schaedel,Navneet Tiwari,15-04-25 19:15,1
3823,112pro130,Packaging Printing B2B,CATI,proSapient,5,5,54,,1,0,,18-03-25 5:30,22-04-25 5:30,"35 days, 0:00:00",,,,Cancelled,,Christopher Schaedel,Navneet Tiwari,15-04-25 19:14,1
3822,112pro129,Estate Agency,CATI,proSapient,34,34,50,,1,0,,17-03-25 5:30,11-04-25 5:30,"25 days, 0:00:00",,,,Project Initiated,,Christopher Schaedel,Navneet Tiwari,15-04-25 19:10,1
3821,112pro128,Estate Agency,CATI,proSapient,34,34,50,,1,0,,17-03-25 5:30,11-04-25 5:30,"25 days, 0:00:00",,,,Project Initiated,,Christopher Schaedel,Navneet Tiwari,15-04-25 19:10,1
3820,093app098,Psychotherapists Study,CATI,Appinio,100,56,66,,1,0,,08-04-25 5:30,25-04-25 5:30,"17 days, 0:00:00",11,56,0,Completed,,Gaurav Prashant Saxena,Dipika Maheshwari,15-04-25 14:29,1
3819,074ath194,SSI Abdominal Surgery Quant,CATI,Atheneum,35,35,88,,1,0,,02-04-25 5:30,30-04-25 5:30,"28 days, 0:00:00",2,4,31,On Hold,,oyewalerotimi oketunji,Dipika Maheshwari,14-04-25 20:44,1
3818,074ath193,HCPs,CATI,Atheneum,30,7,110,,1,0,,28-03-25 5:30,22-04-25 5:30,"25 days, 0:00:00",,,,To Be Started,,oyewalerotimi oketunji,Dipika Maheshwari,14-04-25 20:35,1
3817,074ath191,HAE Patients Study Quant,CATI,Atheneum,25,25,65,,1,0,,02-04-25 5:30,18-04-25 5:30,"16 days, 0:00:00",7,25,0,Completed,,oyewalerotimi oketunji,Dipika Maheshwari,14-04-25 20:14,1
3816,074ath187,DXd Intl ATU Survey,CATI,Atheneum,90,240,90,,1,0,,24-03-25 5:30,05-05-25 5:30,"42 days, 0:00:00",22,142,98,In Progress,,oyewalerotimi oketunji,Dipika Maheshwari,14-04-25 20:03,1
3815,118nov120,GTM  International origin,IDI,NovusClient,4,4,700,,1,0,,15-04-25 5:30,25-04-25 5:30,"10 days, 0:00:00",11,4,0,Completed,,Novus User,Vishal Pathak,14-04-25 19:07,1
3814,001glg939,"Shipping and Logistics in Canada, Mexico, and Braz",CATI,GLG,50,50,51,,1,0,,10-04-25 5:30,25-04-25 5:30,"15 days, 0:00:00",2.75,18,32,In Progress,,Saransh Sharma,Navneet Tiwari,14-04-25 17:37,1
3813,004rot054,Potential new project - Digital Ad Buyers Wave 6,CATI,Roth MKM,100,100,41,,1,0,,10-04-25 5:30,29-04-25 5:30,"19 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Reeti Sharma,14-04-25 17:36,1
3812,002sym016,New Contractor Study (SYM250956),CATI,Symmetric Sampling,150,150,42,,1,0,,10-04-25 5:30,30-04-25 5:30,"20 days, 0:00:00",20.5,150,0,Completed,,Saransh Sharma,Ankit Narang,14-04-25 17:36,1
3811,003pot293,Northern Ireland Care sector B2B survey - 3125a,CATI,potloc,10,30,38,,1,0,,10-04-25 5:30,22-04-25 5:30,"12 days, 0:00:00",5,28,2,Completed,,Saransh Sharma,Jagdeep Yadav,14-04-25 17:35,1
3810,001glg938,Biopharmaceutical Manufacturing Survey (#... 60563,CATI,GLG,15,31,82,,1,0,,10-04-25 5:30,01-05-25 5:30,"21 days, 0:00:00",3,8,23,In Progress,,Saransh Sharma,Dipika Maheshwari,14-04-25 17:34,1
3809,001glg937,Unimrkt - Auto DMS Customers,CATI,GLG,20,20,50,,1,0,,09-04-25 5:30,18-04-25 5:30,"9 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Navneet Tiwari,14-04-25 17:34,1
3808,001glg936,Corporate Performance - Professional Information S,CATI,GLG,10,10,50,,1,0,,09-04-25 5:30,18-04-25 5:30,"9 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Navneet Tiwari,14-04-25 17:33,1
3807,001glg935,C-suite digital transformation,CATI,GLG,15,15,53,,1,0,,09-04-25 5:30,18-04-25 5:30,"9 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Navneet Tiwari,14-04-25 17:33,1
3806,003pot292,Industrial Engines Survey,CATI,potloc,30,30,42,,1,0,,09-04-25 5:30,18-04-25 5:30,"9 days, 0:00:00",2,5,25,On Hold,,Saransh Sharma,Jagdeep Yadav,14-04-25 17:32,1
3805,001glg934,Ireland IT Services Study,CATI,GLG,15,15,51,,1,0,,09-04-25 5:30,18-04-25 5:30,"9 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Navneet Tiwari,14-04-25 17:32,1
3804,078emi090,Tymlos Consumer ATU – W6 IO# 65315.3,CATI,EMI,50,50,68,,1,0,,09-04-25 5:30,30-04-25 5:30,"21 days, 0:00:00",6,15,35,On Hold,,Saransh Sharma,Dipika Maheshwari,14-04-25 17:31,1
3803,078emi089,IH ATU Research - IO:67465,CATI,EMI,60,60,68,,1,0,,08-04-25 5:30,09-05-25 5:30,"31 days, 0:00:00",1,2,58,In Progress,,Saransh Sharma,Dipika Maheshwari,14-04-25 17:30,1
3802,001glg933,MSP/VAR Survey,CATI,GLG,20,20,51,,1,0,,08-04-25 5:30,18-04-25 5:30,"10 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Navneet Tiwari,14-04-25 17:29,1
3801,001glg932,martial arts studios,CATI,GLG,30,30,49,,1,0,,08-04-25 5:30,18-04-25 5:30,"10 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Navneet Tiwari,14-04-25 17:29,1
